id;earthquake;M0 (seismic moment, Nm);a (radius, m);?? (stress drop, Pa);Er (radiated energy, J);tau i (Pa);type of energy;value (J/m^2);type of slip;value (m);Reference M0, a;Reference Er;Reference slip, G';Collection;Note;Type of seismic event
;Large earthquakes;;;;;;G';6600000;slip;2.8;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';5000000;slip;2.2;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';17400000;slip;2.2;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';6900000;slip;1.4;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';5200000;slip;0.99;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';2900000;slip;0.96;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';3700000;slip;0.8;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';1500000;slip;0.78;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';1700000;slip;0.62;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';1300000;slip;0.56;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';810000;slip;0.6;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';1800000;slip;0.6;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';2000000;slip;0.44;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';2000000;slip;0.26;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';1400000;slip;0.25;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';830000;slip;0.38;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';150000;slip;0.33;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;Large earthquakes;;;;;;G';570000;slip;0.32;;;Rice, 2006;Nielsen et al., 2016a;tab 5;natural
;L'Aquila;;;;;;G';12900000;slip;1.78;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';6950;slip;0.019;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';4200;slip;0.013;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';3240;slip;0.012;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';1430;slip;0.0072;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';27000;slip;0.041;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';42100;slip;0.045;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';4130;slip;0.013;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';3650;slip;0.013;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';2760;slip;0.011;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';3110;slip;0.011;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';2710;slip;0.011;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';14800;slip;0.025;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';5290;slip;0.015;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';158000;slip;0.081;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';5700;slip;0.015;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';12200;slip;0.018;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';52900;slip;0.047;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';1080;slip;0.0064;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';1710;slip;0.0092;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';3900;slip;0.014;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';10000;slip;0.018;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';5010;slip;0.012;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';2400;slip;0.0089;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';7230;slip;0.018;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';2590;slip;0.0099;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';3260;slip;0.012;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';3110;slip;0.012;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';5410;slip;0.014;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';3010;slip;0.011;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';11900;slip;0.027;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';7190;slip;0.018;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';2580;slip;0.011;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';6840;slip;0.014;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';3020;slip;0.012;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';2070;slip;0.009;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';7950;slip;0.019;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';21200;slip;0.037;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';1610;slip;0.0094;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';1190;slip;0.007;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';1520;slip;0.0089;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';5140;slip;0.015;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';3180;slip;0.011;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';8590;slip;0.021;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';6590;slip;0.017;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';2740;slip;0.0095;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';5920;slip;0.017;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';1520;slip;0.007;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';6410;slip;0.013;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';1620;slip;0.0075;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';8490;slip;0.022;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';16300;slip;0.022;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';4140;slip;0.014;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';9320;slip;0.019;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';87400;slip;0.071;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';12500;slip;0.027;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;L'Aquila;;;;;;G';10000;slip;0.0012;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 1;natural
;Northridge;;;;;;G';11200000;slip;2.17;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';46000;slip;0.06;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';46000;slip;0.053;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';177000;slip;0.073;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';85000;slip;0.083;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';70000;slip;0.044;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';11000;slip;0.022;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';58000;slip;0.058;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';38000;slip;0.052;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';40000;slip;0.043;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';24000;slip;0.035;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';28000;slip;0.035;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';58000;slip;0.054;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';17000;slip;0.027;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';30000;slip;0.031;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
;Northridge;;;;;;G';23000;slip;0.04;;;Malagnini et al., 2014b;Nielsen et al., 2016a;tab 2;natural
N3150210;Northridge aftershocks;7.7E+14;504;2600000;20000000000;;G';16749.89822;slip;0.032163146;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3172383;Northridge aftershocks;8.7E+14;540;2490000;23000000000;;G';14305.38772;slip;0.031656333;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N2150608;Northridge aftershocks;1E+15;636;1680000;64000000000;;G';;slip;;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3140898;Northridge aftershocks;1E+15;612;1970000;8500000000;;G';20679.92162;slip;0.02832866;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N2138698;Northridge aftershocks;1.4E+15;492;4980000;32000000000;;G';110721.5134;slip;0.061365843;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3141242;Northridge aftershocks;1.4E+15;696;1850000;12000000000;;G';20479.6252;slip;0.030664679;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3149105;Northridge aftershocks;1.4E+15;720;1620000;18000000000;;G';12157.66926;slip;0.028654439;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3145171;Northridge aftershocks;1.7E+15;804;1450000;22000000000;;G';9397.065762;slip;0.027903951;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3147259;Northridge aftershocks;1.7E+15;660;2550000;22000000000;;G';36719.63219;slip;0.04140854;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3140728;Northridge aftershocks;2E+15;636;3470000;23000000000;;G';72922.14539;slip;0.052461975;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3145168;Northridge aftershocks;2.2E+15;516;7060000;43000000000;;G';258069.2796;slip;0.087670231;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3143546;Northridge aftershocks;2.4E+15;864;1620000;26000000000;;G';16544.52748;slip;0.034112428;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3145150;Northridge aftershocks;2.5E+15;792;2200000;1E+11;;G';;slip;;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3142081;Northridge aftershocks;2.6E+15;792;2310000;46000000000;;G';27453.45635;slip;0.043979659;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3146628;Northridge aftershocks;3.2E+15;780;2900000;1.1E+11;;G';23369.23337;slip;0.055807124;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3195727;Northridge aftershocks;3.4E+15;1020;1390000;2E+11;;G';;slip;;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3140691;Northridge aftershocks;4E+15;708;4980000;1.2E+11;;G';134623.0646;slip;0.084668594;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3169078;Northridge aftershocks;4.6E+15;648;7410000;76000000000;;G';373038.3492;slip;0.116234939;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3142198;Northridge aftershocks;4.8E+15;576;10900000;1.9E+11;;G';654319.0055;slip;0.153505925;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3140870;Northridge aftershocks;5.6E+15;660;8330000;90000000000;;G';502358.6695;slip;0.136404604;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3141180;Northridge aftershocks;6E+15;744;6250000;69000000000;;G';319726.805;slip;0.115009642;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3145627;Northridge aftershocks;7.5E+15;840;5610000;1.8E+11;;G';235146.015;slip;0.112779863;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3140678;Northridge aftershocks;7.9E+15;552;20100000;1.7E+11;;G';2587082.654;slip;0.275091903;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3140766;Northridge aftershocks;1.6E+16;1596;1740000;5.2E+11;;G';;slip;;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3141597;Northridge aftershocks;1.7E+16;696;21700000;4.4E+11;;G';3750947.396;slip;0.372356822;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3142597;Northridge aftershocks;2.5E+16;1404;3990000;2.2E+12;;G';;slip;;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3141219;Northridge aftershocks;3.5E+16;744;37700000;9.9E+11;;G';12076970.83;slip;0.670889579;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3217586;Northridge aftershocks;4.1E+16;2544;10800000;1.2E+12;;G';303951.5682;slip;0.067216906;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
N3159411;Northridge aftershocks;1.2E+17;2292;4400000;4.2E+12;;G';278726.8023;slip;0.242371132;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I3;Long Valley;2.17E+11;57.7;500000;1990000;;G';;slip;;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I6;Long Valley;3.65E+11;31.9;4930000;6380000;;G';7385.502964;slip;0.003805751;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I11;Long Valley;5.9E+11;36.5;5320000;9650000;;G';10193.40272;slip;0.004698889;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I12;Long Valley;4.28E+12;56.9;10200000;408000000;;G';31421.89443;slip;0.014026461;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I13;Long Valley;59900000000;28.6;1120000;675000;;G';172.4457442;slip;0.000777005;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I15;Long Valley;2.17E+12;72.4;2500000;39700000;;G';3079.808384;slip;0.004392497;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I16;Long Valley;1.12E+11;32.4;1430000;1120000;;G';469.7913018;slip;0.001132027;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I17;Long Valley;1.02E+11;13.5;18000000;4440000;;G';45689.91288;slip;0.005938291;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I18;Long Valley;1.31E+13;88.7;8220000;433000000;;G';55091.46548;slip;0.017666598;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I19;Long Valley;6.3E+11;33.7;7220000;15300000;;G';16959.67316;slip;0.005885856;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I20;Long Valley;1.45E+12;51.2;4730000;28700000;;G';10395.04198;slip;0.005868903;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I21;Long Valley;1.43E+11;29.6;2410000;1630000;;G';1494.560149;slip;0.001731735;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I23;Long Valley;1.95E+11;27.6;4070000;5320000;;G';3304.2368;slip;0.002716097;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
I24;Long Valley;5.27E+11;33.4;6210000;16500000;;G';10855.48107;slip;0.00501241;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1992;Landers;8E+19;15000;14000000;1.5E+16;;G';5187272.219;slip;3.772561614;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1992;Landers;8E+19;15000;14000000;8.6E+15;;G';14241420.09;slip;3.772561614;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1991;Sierra;2.5E+17;5600;46000000;2.8E+13;;G';1661247.386;slip;0.084584897;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1992;JT;3.1E+15;350;35000000;1E+11;;G';4439015.42;slip;0.268506299;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1992;JT;1.9E+18;5000;5600000;5.1E+14;;G';;slip;;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1994;Northridge;1.3E+19;8500;9400000;9.8E+14;;G';4655327.978;slip;1.909125038;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1994;Northridge;1.3E+19;8500;9400000;1.3E+15;;G';3245512.565;slip;1.909125038;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1994;Northridge;1.3E+19;8500;9400000;1.2E+15;;G';3686079.882;slip;1.909125038;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1995;Kobe;2.3E+19;13000;4700000;1.5E+15;;G';568186.286;slip;1.444009346;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1989;Loma;3.1E+19;14000;4800000;2.7E+15;;G';;slip;;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1971;Imperial;6.7E+18;11000;2500000;5.9E+14;;G';;slip;;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1999;Hector;6.3E+19;14000;10000000;3E+15;;G';12180225.24;slip;3.410463066;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1999;Hector;6.3E+19;14000;10000000;3E+15;;G';12180225.24;slip;3.410463066;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1999;Hector;6.3E+19;14000;10000000;3.4E+15;;G';11530613.22;slip;3.410463066;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
1e;Northridge;1E+16;500;35000000;1.9E+11;;G';7185315.164;slip;0.424413182;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
2f;Northridge;7.1E+15;600;14400000;2.6E+11;;G';1276776.321;slip;0.209259277;;;Abercrombie & Rice, 2005;Cornelio et al., 2020;;natural
;Michoacan 1985 (M=8.1);;;;;;G';6600000;slip;2.8;;;Rice, 2006;Cornelio et al., 2020;;natural
;Landers 1992 (M=7.1);;;;;;G';5000000;slip;2.2;;;Rice, 2006;Cornelio et al., 2020;;natural
;Landers 1992 (M=7.3);;;;;;G';17400000;slip;2.2;;;Rice, 2006;Cornelio et al., 2020;;natural
;San Fernando 1971 (M=6.5);;;;;;G';6900000;slip;1.4;;;Rice, 2006;Cornelio et al., 2020;;natural
;Northridge 1994 (M=6.7);;;;;;G';5200000;slip;0.99;;;Rice, 2006;Cornelio et al., 2020;;natural
;Borah Peak 1983 (M=7.3);;;;;;G';2900000;slip;0.96;;;Rice, 2006;Cornelio et al., 2020;;natural
;Tottori 2000 (M=6.8);;;;;;G';3700000;slip;0.8;;;Rice, 2006;Cornelio et al., 2020;;natural
;Kobe 1995 (M=6.9);;;;;;G';1500000;slip;0.78;;;Rice, 2006;Cornelio et al., 2020;;natural
;Kobe 1995 (M=6.9);;;;;;G';1700000;slip;0.62;;;Rice, 2006;Cornelio et al., 2020;;natural
;Imperial Valley 1979 (M=6.5);;;;;;G';1300000;slip;0.56;;;Rice, 2006;Cornelio et al., 2020;;natural
;Imperial Valley 1979 (M=6.6);;;;;;G';810000;slip;0.6;;;Rice, 2006;Cornelio et al., 2020;;natural
;Imperial Valley 1979 (M=6.6);;;;;;G';1800000;slip;0.6;;;Rice, 2006;Cornelio et al., 2020;;natural
;Morgan Hill 1984 (M=6.2);;;;;;G';2000000;slip;0.44;;;Rice, 2006;Cornelio et al., 2020;;natural
;Morgan Hill 1984 (M=6.3);;;;;;G';2000000;slip;0.26;;;Rice, 2006;Cornelio et al., 2020;;natural
;Morgan Hill 1984 (M=6.3);;;;;;G';1400000;slip;0.25;;;Rice, 2006;Cornelio et al., 2020;;natural
;Colfiorito 1997 (M=5.9);;;;;;G';830000;slip;0.38;;;Rice, 2006;Cornelio et al., 2020;;natural
;North Palm Springs 1986 (M=6.0);;;;;;G';150000;slip;0.33;;;Rice, 2006;Cornelio et al., 2020;;natural
;Coyote Lake 1979 (M=5.9);;;;;;G';570000;slip;0.32;;;Rice, 2006;Cornelio et al., 2020;;natural
;L'Aquila;1.95E+18;;;;;G';12900000;slip;1.78;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;7.67E+14;;;;;G';6950;slip;0.019;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;3.02E+14;;;;;G';4200;slip;0.013;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;3.72E+14;;;;;G';3240;slip;0.012;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;1.62E+14;;;;;G';1430;slip;0.0072;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;2.57E+15;;;;;G';27000;slip;0.041;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;1.7E+15;;;;;G';42100;slip;0.045;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;3.85E+14;;;;;G';4130;slip;0.013;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;3.85E+14;;;;;G';3650;slip;0.013;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;3.13E+14;;;;;G';2760;slip;0.011;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;3.02E+14;;;;;G';3110;slip;0.011;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;3.47E+14;;;;;G';2710;slip;0.011;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;8.2E+14;;;;;G';14800;slip;0.025;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;5.3E+14;;;;;G';5290;slip;0.015;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;2.32E+15;;;;;G';158000;slip;0.081;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;3.85E+14;;;;;G';5700;slip;0.015;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;2.07E+14;;;;;G';12200;slip;0.018;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;1.33E+15;;;;;G';52900;slip;0.047;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;1.32E+14;;;;;G';1080;slip;0.0064;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;3.8E+14;;;;;G';1710;slip;0.0092;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;5.82E+14;;;;;G';3900;slip;0.014;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;2.72E+14;;;;;G';10000;slip;0.018;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;1.8E+14;;;;;G';5010;slip;0.012;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;1.62E+14;;;;;G';2400;slip;0.0089;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;6.68E+14;;;;;G';7230;slip;0.018;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;2.37E+14;;;;;G';2590;slip;0.0099;;;Malagnini et al., 2014b;;tab 1;natural
;L'Aquila;3.6E+14;;;;;G';3260;slip;0.012;;;Malagnini et al., 2014b;;tab 1;natural
